"","true","estimated","tissue_spiked","spike_color"
"sample_473",0.1,0.0501682920887553,"adipocyte",TRUE
"sample_474",0.1,0.0259459815160559,"adipocyte",TRUE
"sample_475",0.1,0.143146195549943,"adipocyte",TRUE
"sample_476",0.1,0.248348801013997,"adipocyte",TRUE
"sample_477",0.1,0.135449420408566,"adipocyte",TRUE
"sample_478",0.1,0,"adipocyte",TRUE
"sample_479",0.1,0.0595800055973737,"adipocyte",TRUE
"sample_480",0.1,0,"adipocyte",TRUE
"sample_481",0.1,0.0123814994677906,"adipocyte",TRUE
"sample_482",0.1,0,"adipocyte",TRUE
"sample_483",0.1,0.0151380348208507,"adipocyte",TRUE
"sample_484",0.1,0.144141361284358,"adipocyte",TRUE
"sample_485",0.1,0,"adipocyte",TRUE
"sample_486",0.1,0,"adipocyte",TRUE
"sample_487",0.1,0.158626335921485,"adipocyte",TRUE
"sample_488",0.1,0.094363017381662,"adipocyte",TRUE
"sample_489",0.1,0,"adipocyte",TRUE
"sample_490",0.1,0.131290355208417,"adipocyte",TRUE
"sample_491",0.1,0.286282878553863,"adipocyte",TRUE
"sample_492",0.1,0.0736534015572129,"adipocyte",TRUE
"sample_493",0.1,0.0600393467952268,"adipocyte",TRUE
"sample_494",0.1,0.0963489962993834,"adipocyte",TRUE
"sample_495",0.1,0.147182378337868,"adipocyte",TRUE
"sample_496",0.1,0,"adipocyte",TRUE
"sample_497",0.1,0.290040520645875,"adipocyte",TRUE
"sample_498",0.1,0.0910190151353728,"adipocyte",TRUE
"sample_499",0.1,0.122377531982025,"adipocyte",TRUE
"sample_500",0.1,0.0885479019379055,"adipocyte",TRUE
"sample_501",0.1,0,"adipocyte",TRUE
"sample_502",0.1,0.0939239100844988,"adipocyte",TRUE
"sample_503",0.1,0.0417042275636417,"adipocyte",TRUE
"sample_504",0.1,0.0491897459432789,"adipocyte",TRUE
"sample_505",0.1,0.0546747006245565,"adipocyte",TRUE
"sample_506",0.1,0.0767171660235602,"adipocyte",TRUE
